년월,시도명,읍면동명,업종명,이용금액,총 유동인구,데이터기준일자
2018-01,제주시,아라동,차량용 주유소 운영업,477141187,34700908.53,2020-12-15
2018-01,제주시,아라동,차량용 가스 충전업,22660470,34700908.53,2020-12-15
2018-01,제주시,애월읍,건강보조식품 소매업,535000,40822918.85,2020-12-15
2018-01,제주시,아라동,중식 음식점업,76434700,34700908.53,2020-12-15
2018-01,제주시,아라동,일식 음식점업,120707800,34700908.53,2020-12-15
2018-01,제주시,아라동,육류 소매업,98585986,34700908.53,2020-12-15
2018-01,제주시,아라동,욕탕업,449500,34700908.53,2020-12-15
2018-01,제주시,아라동,여행사업,4409600,34700908.53,2020-12-15
2018-01,제주시,아라동,여관업,31664504,34700908.53,2020-12-15
2018-01,제주시,아라동,스포츠 및 레크레이션 용품 임대업,29050200,34700908.53,2020-12-15
2018-01,제주시,아라동,전시 및 행사 대행업,611000,34700908.53,2020-12-15
2018-01,제주시,아라동,슈퍼마켓,590943190,34700908.53,2020-12-15
2018-01,제주시,애월읍,골프장 운영업,187670380,40822918.85,2020-12-15
2018-01,제주시,애월읍,관광 민예품 및 선물용품 소매업,12827400,40822918.85,2020-12-15
2018-01,제주시,애월읍,육류 소매업,38793030,40822918.85,2020-12-15
2018-01,제주시,애월읍,여행사업,2910000,40822918.85,2020-12-15
2018-01,제주시,애월읍,여관업,320499754,40822918.85,2020-12-15
2018-01,제주시,애월읍,스포츠 및 레크레이션 용품 임대업,16703600,40822918.85,2020-12-15
2018-01,제주시,애월읍,슈퍼마켓,213725640,40822918.85,2020-12-15
2018-01,제주시,애월읍,수산물 소매업,5544000,40822918.85,2020-12-15
2018-01,제주시,애월읍,과실 및 채소 소매업,65819140,40822918.85,2020-12-15
2018-01,제주시,애월읍,서양식 음식점업,257935700,40822918.85,2020-12-15
2018-01,제주시,애월읍,비알콜 음료점업,62263370,40822918.85,2020-12-15
2018-01,제주시,애월읍,기타음식료품위주종합소매업,1124765662,40822918.85,2020-12-15
2018-01,제주시,애월읍,기타 주점업,10086000,40822918.85,2020-12-15
2018-01,제주시,애월읍,기타 외국식 음식점업,23552900,40822918.85,2020-12-15
2018-01,제주시,애월읍,그외 기타 종합 소매업,4130000,40822918.85,2020-12-15
2018-01,제주시,애월읍,그외 기타 스포츠시설 운영업,3991500,40822918.85,2020-12-15
2018-01,제주시,애월읍,빵 및 과자류 소매업,30429490,40822918.85,2020-12-15
2018-01,제주시,아라동,수산물 소매업,11250500,34700908.53,2020-12-15
2018-01,제주시,아라동,서양식 음식점업,207613830,34700908.53,2020-12-15
2018-01,제주시,아라동,빵 및 과자류 소매업,112950550,34700908.53,2020-12-15
2018-01,제주시,삼양동,육류 소매업,65231466,18073463.18,2020-12-15
2018-01,제주시,삼양동,욕탕업,16515000,18073463.18,2020-12-15
2018-01,제주시,삼양동,여행사업,4012500,18073463.18,2020-12-15
2018-01,제주시,삼양동,여관업,29847160,18073463.18,2020-12-15
2018-01,제주시,삼양동,스포츠 및 레크레이션 용품 임대업,18269610,18073463.18,2020-12-15
2018-01,제주시,삼양동,슈퍼마켓,522138020,18073463.18,2020-12-15
2018-01,제주시,삼양동,일식 음식점업,26295500,18073463.18,2020-12-15
2018-01,제주시,삼양동,수산물 소매업,7771000,18073463.18,2020-12-15
2018-01,제주시,삼양동,빵 및 과자류 소매업,43248390,18073463.18,2020-12-15
2018-01,제주시,삼양동,비알콜 음료점업,23847100,18073463.18,2020-12-15
2018-01,제주시,삼양동,기타음식료품위주종합소매업,62091270,18073463.18,2020-12-15
2018-01,제주시,삼양동,기타 주점업,20595000,18073463.18,2020-12-15
2018-01,제주시,삼양동,기타 외국식 음식점업,16620800,18073463.18,2020-12-15
2018-01,제주시,삼양동,기타 대형 종합 소매업,189710,18073463.18,2020-12-15
2018-01,제주시,삼양동,서양식 음식점업,30001230,18073463.18,2020-12-15
2018-01,제주시,삼양동,전시 및 행사 대행업,497000,18073463.18,2020-12-15
2018-01,제주시,삼양동,중식 음식점업,56278700,18073463.18,2020-12-15
2018-01,제주시,삼양동,차량용 가스 충전업,29177090,18073463.18,2020-12-15
2018-01,제주시,아라동,비알콜 음료점업,53007950,34700908.53,2020-12-15
2018-01,제주시,아라동,마사지업,110000,34700908.53,2020-12-15
2018-01,제주시,아라동,기타음식료품위주종합소매업,155959020,34700908.53,2020-12-15
2018-01,제주시,아라동,기타 주점업,7300000,34700908.53,2020-12-15
2018-01,제주시,아라동,기타 외국식 음식점업,51100000,34700908.53,2020-12-15
2018-01,제주시,아라동,그외 기타 종합 소매업,5790000,34700908.53,2020-12-15
2018-01,제주시,아라동,관광 민예품 및 선물용품 소매업,389470,34700908.53,2020-12-15
2018-01,제주시,아라동,과실 및 채소 소매업,29008850,34700908.53,2020-12-15
2018-01,제주시,아라동,골프장 운영업,48442500,34700908.53,2020-12-15
2018-01,제주시,아라동,건강보조식품 소매업,2250000,34700908.53,2020-12-15
2018-01,제주시,삼양동,화장품 및 방향제 소매업,11789950,18073463.18,2020-12-15
2018-01,제주시,삼양동,한식 음식점업,532720433,18073463.18,2020-12-15
2018-01,제주시,삼양동,"피자, 햄버거, 샌드위치 및 유사 음식점업",46749160,18073463.18,2020-12-15
2018-01,제주시,삼양동,체인화 편의점,162982140,18073463.18,2020-12-15
2018-01,제주시,삼양동,차량용 주유소 운영업,378531588,18073463.18,2020-12-15
2018-01,제주시,삼양동,과실 및 채소 소매업,73077900,18073463.18,2020-12-15
2018-01,제주시,용담2동,중식 음식점업,29567170,18246425.72,2020-12-15
2018-01,제주시,용담2동,차량용 주유소 운영업,733451403,18246425.72,2020-12-15
2018-01,제주시,용담2동,체인화 편의점,295832660,18246425.72,2020-12-15
2018-01,제주시,추자면,여관업,8996000,1796079.1709999999,2020-12-15
2018-01,제주시,추자면,스포츠 및 레크레이션 용품 임대업,707000,1796079.1709999999,2020-12-15
