날짜,관광지명,관광객수
2009.07,제주러브랜드,6119
2009.07,제주목관아지,554
2009.07,제주별빛누리공원,0
2009.07,제주항일기념관,14
2009.07,한라산국립공원,0
2009.07,한림공원,1569
2009.07,항몽 유적지,123
2009.07,해녀 박물관,3131
2009.07,감귤박물관,31
2009.07,기당미술관,8
2009.07,마라해양도립공원,0
2009.07,박물관은살아있다,0
2009.07,산방산,3139
2009.07,서귀포도립해양공원,0
2009.07,서귀포자연휴양림,0
2009.07,서복전시관,0
2009.07,성산일출봉,33138
2009.07,소리섬박물관,0
2009.07,소인국테마파크,0
2009.07,신영영화박물관,0
2009.07,아프리카박물관,0
2009.07,여미지식물원,0
2009.07,이중섭미술관,128
2009.07,익스트림 아일랜드,0
2009.07,일출랜드,495
2009.07,정방폭포,6224
2009.07,제주민속촌박물관,3514
2009.07,제주조각공원,213
2009.07,제주추사관,0
2009.07,중문주상절리대,7268
2009.07,천제연폭포,14896
2009.07,천지연폭포,15969
2009.07,카멜리아힐,0
2009.07,테디베어뮤지엄,10419
2009.07,퍼시픽랜드,0
2009.07,아쿠아플라넷,0
2009.07,화락원,0
2009.08,(주)제주미니미니랜드,701
2009.08,국립제주박물관,267
2009.08,도립미술관,0
2009.08,만장굴관광지,11229
2009.08,목석원,0
2009.08,민속자연사박물관,12184
2009.08,비자림,22
2009.08,산굼부리,3488
2009.08,삼성혈,6289
2009.08,삼양선사유적지,69
2009.08,생각하는 정원,2808
2009.08,절물자연휴양림,214
2009.08,제주도립 김창열미술관,0
2009.08,제주돌문화공원,96
2009.08,제주러브랜드,8298
2009.08,제주목관아지,534
2009.08,제주별빛누리공원,0
2009.08,제주항일기념관,5761
2009.08,한라산국립공원,0
2009.08,한림공원,2807
2009.08,항몽 유적지,37
2009.08,해녀 박물관,2706
2009.08,감귤박물관,54
2009.08,기당미술관,6
2009.08,마라해양도립공원,0
2009.08,박물관은살아있다,0
2009.08,산방산,3366
2009.08,서귀포도립해양공원,0
2009.08,서귀포자연휴양림,0
2009.08,서복전시관,1083
2009.08,성산일출봉,43281
2009.08,소리섬박물관,0
2009.08,소인국테마파크,0
2009.08,신영영화박물관,0
2009.08,아프리카박물관,0
2009.08,여미지식물원,0
2009.08,이중섭미술관,207
2009.08,익스트림 아일랜드,0
2009.08,일출랜드,510
2009.08,정방폭포,7729
2009.08,제주민속촌박물관,5006
2009.08,제주조각공원,47
2009.08,제주추사관,0
2009.08,중문주상절리대,12099
2009.08,천제연폭포,15049
